Feature,Information
Paradigm,"Multi-paradigm: object-oriented,[1] procedural (imperative), functional, structured, reflective"
Designed by,Guido van Rossum
Developer,Python Software Foundation
First appeared,20 February 1991; 35 years ago (1991-02-20)[2]
Stable release,3.14.6[3]     / 10 June 2026; 43 days ago (10 June 2026)
Typing discipline,"Duck, dynamic, strong;[4] optional type annotations[a]"
Memory management,Garbage-collected
OS,Cross-platform[b]
License,Python Software Foundation License
Filename extensions,".py,[11] .pyc,[12] .pyd,[13] .pyi,[14] .pyw,[15] .pyz[16]"
Website,python.org
